,Rank,Movie_Title,Studio,Total_Gross_Revenue,Total_Gross_Theaters,Opening_Revenue,Opening_Theaters,Open_Date
0,100,The Bank Job,LGF,"$30,060,660","1,613","$5,935,256","1,603",3/7/08
1,200,Bug,LGF,"$7,025,810","1,661","$3,245,556","1,661",5/25/07
2,300,The Final Cut,Lions,"$551,281",117,"$226,296",117,10/15/04
3,390,I Still See You,LGF,"$1,359",10,$815,10,10/12/18
4,301,American Pastoral,LGF,"$544,098",70,"$149,038",50,10/21/16
5,302,Love & Sex,Lions,"$543,896",76,"$58,116",8,8/25/00
6,303,Max,Lions,"$539,879",37,"$30,157",6,12/27/02
7,304,The Young Poisoner's Handbook,Lions,"$536,825",N/A,N/A,N/A,2/23/96
8,1,The Hunger Games: Catching Fire,LGF,"$424,668,047","4,163","$158,074,286","4,163",11/22/13
9,2,The Hunger Games,LGF,"$408,010,692","4,137","$152,535,747","4,137",3/23/12
10,3,The Hunger Games: Mockingjay - Part 1,LGF,"$337,135,885","4,151","$121,897,634","4,151",11/21/14
11,4,The Twilight Saga: Breaking Dawn Part 2,LG/S,"$292,324,737","4,070","$141,067,634","4,070",11/16/12
12,5,The Hunger Games: Mockingjay - Part 2,LGF,"$281,723,902","4,175","$102,665,981","4,175",11/20/15
13,6,La La Land,LG/S,"$151,101,803","3,236","$881,104",5,12/9/16
14,7,Divergent,LG/S,"$150,947,895","3,936","$54,607,747","3,936",3/21/14
15,8,Wonder,LGF,"$132,422,809","3,519","$27,547,866","3,096",11/17/17
16,9,The Divergent Series: Insurgent,LG/S,"$130,179,072","3,875","$52,263,680","3,875",3/20/15
17,10,Fahrenheit 9/11,Lions,"$119,194,771","2,011","$23,920,637",868,6/23/04
18,11,Now You See Me,LG/S,"$117,723,989","3,082","$29,350,389","2,925",5/31/13
19,12,The Expendables,LGF,"$103,068,524","3,398","$34,825,135","3,270",8/13/10
20,13,John Wick: Chapter Two,LG/S,"$92,029,184","3,113","$30,436,123","3,113",2/10/17
21,14,Tyler Perry's Madea Goes to Jail,LGF,"$90,508,336","2,203","$41,030,947","2,032",2/20/09
22,15,Saw II,Lions,"$87,039,965","2,949","$31,725,652","2,949",10/28/05
23,16,Power Rangers (2017),LGF,"$85,364,450","3,693","$40,300,288","3,693",3/24/17
24,17,The Expendables 2,LGF,"$85,028,192","3,355","$28,591,370","3,316",8/17/12
25,18,Saw III,LGF,"$80,238,724","3,167","$33,610,391","3,167",10/27/06
26,19,The Hitman's Bodyguard,LG/S,"$75,468,583","3,377","$21,384,504","3,377",8/18/17
27,20,Boo! A Madea Halloween,LGF,"$73,206,343","2,299","$28,501,448","2,260",10/21/16
28,21,Hacksaw Ridge,LGF,"$67,209,615","2,971","$15,190,758","2,886",11/4/16
29,22,Tyler Perry's A Madea Family Funeral,LGF,"$67,032,271","2,442","$27,062,332","2,442",3/1/19
30,23,Warm Bodies,LG/S,"$66,380,662","3,009","$20,353,967","3,009",2/1/13
31,24,The Divergent Series: Allegiant,LG/S,"$66,184,051","3,740","$29,027,348","3,740",3/18/16
32,25,Tyler Perry's Madea's Witness Protection,LGF,"$65,653,242","2,161","$25,390,575","2,161",6/29/12
33,26,Now You See Me 2,LG/S,"$65,075,540","3,232","$22,383,146","3,232",6/10/16
34,27,Saw IV,LGF,"$63,300,095","3,183","$31,756,764","3,183",10/26/07
35,28,Tyler Perry's Madea's Family Reunion,LGF,"$63,257,940","2,194","$30,030,661","2,194",2/24/06
36,29,Ender's Game,LG/S,"$61,737,191","3,407","$27,017,351","3,407",11/1/13
37,30,Deepwater Horizon,LG/S,"$61,433,527","3,403","$20,223,544","3,259",9/30/16
38,31,Tyler Perry's Why Did I Get Married Too?,LGF,"$60,095,852","2,155","$29,289,537","2,155",4/2/10
39,32,The Lincoln Lawyer,LGF,"$58,009,200","2,707","$13,206,453","2,707",3/18/11
40,33,The Shack,LG/S,"$57,386,418","2,888","$16,172,119","2,888",3/3/17
41,34,Saw V,LGF,"$56,746,769","3,084","$30,053,954","3,060",10/24/08
42,35,The Haunting in Connecticut,LGF,"$55,389,516","2,732","$23,004,765","2,732",3/27/09
43,36,Tyler Perry's Why Did I Get Married?,LGF,"$55,204,525","2,034","$21,353,789","2,011",10/12/07
44,37,Saw,Lions,"$55,185,045","2,467","$18,276,468","2,315",10/29/04
45,38,Crash,Lions,"$54,580,300","1,905","$9,107,071","1,864",5/6/05
46,39,3:10 to Yuma (2007),LGF,"$53,606,916","3,006","$14,035,033","2,652",9/7/07
47,40,A Simple Favor,LGF,"$53,548,586","3,102","$16,011,689","3,102",9/14/18
48,41,Tyler Perry's Madea's Big Happy Family,LGF,"$53,345,287","2,288","$25,068,677","2,288",4/22/11
49,42,Red 2,LG/S,"$53,262,560","3,016","$18,048,422","3,016",7/19/13
50,43,Tyler Perry's A Madea Christmas,LGF,"$52,543,354","2,194","$16,007,634","2,194",12/13/13
51,44,The Forbidden Kingdom,LGF,"$52,075,270","3,151","$21,401,121","3,151",4/18/08
52,45,Tyler Perry's Temptation: Confessions of a Marriage Counselor,LGF,"$51,975,354","2,047","$21,641,679","2,047",3/29/13
53,46,Tyler Perry's I Can Do Bad All By Myself,LGF,"$51,733,921","2,255","$23,446,785","2,255",9/11/09
54,47,My Bloody Valentine 3-D,LGF,"$51,545,952","2,534","$21,241,456","2,534",1/16/09
55,48,Tyler Perry's Diary of a Mad Black Woman,Lions,"$50,633,099","1,703","$21,905,089","1,483",2/25/05
56,49,Overboard (2018),PNT,"$50,316,123","2,006","$14,711,101","1,623",5/4/18
57,50,The Possession,LGF,"$49,130,154","2,860","$17,732,480","2,816",8/31/12
