,index,canonicalUri,category,categoryUri,publishDate,title,uid
0,0,https://www.lionsgate.com/movies/hellboy,Movies,https://www.lionsgate.com/movies,2018-09-20 19:59:00,Hellboy,00000165-f96b-d325-af7d-fb7fb3ea0000
1,1,https://www.lionsgate.com/movies/long-shot,Movies,https://www.lionsgate.com/movies,2019-02-15 17:38:00,Long Shot ,00000168-e968-d538-a1e8-fd78eab90000
2,2,https://www.lionsgate.com/videos/the-kid-2019-movie-official-trailer-ethan-hawke-dane-dehaan-jake-schur,,,2019-02-22 19:31:00,"The Kid (2019 Movie) – Ethan Hawke, Dane Dehaan, Jake Schur",00000169-17c2-da3f-a57b-97cfde380001
3,3,https://www.lionsgate.com/videos/hellboy-official-trailer,,,2018-12-19 14:00:00,Hellboy,00000167-c7a0-d352-af6f-fff13a710001
4,4,https://www.lionsgate.com/videos/long-shot-official-trailer,,,2019-02-15 13:39:00,Long Shot,00000168-f259-d64f-afe9-fa5df3780001
5,5,https://www.lionsgate.com/videos/tyler-perrys-a-madea-family-funeral-2019-movie-official-trailer-tyler-perry-cassi-davis,,,2018-10-31 17:29:00,A Madea Family Funeral,00000166-cc06-d21f-a176-ffc6bb7c0001
6,6,https://www.lionsgate.com/videos/cold-pursuit-2019-movie-official-trailer-liam-neeson-laura-dern-emmy-rossum,,,2018-10-31 17:51:00,Cold Pursuit,00000166-cc1b-de56-a566-cddbd2d40001
7,7,https://www.lionsgate.com/videos/the-spy-who-dumped-me-2018-movie-official-trailer-mila-kunis-kate-mckinnon-sam-heughan,,,2018-09-19 02:40:00,The Spy Who Dumped Me,00000165-f08e-d7ff-a97f-f39fcbed0001
8,8,https://www.lionsgate.com/videos/blindspotting-2018-movie-official-trailer-daveed-diggs-rafael-casal,,,2018-10-04 18:33:00,Blindspotting,00000166-4136-d654-a97e-5777a9350001
9,9,https://www.lionsgate.com/videos/hunter-killer-official-home-entertainment-trailer,,,2018-12-11 11:59:00,Hunter Killer - Official Home Entertainment Trailer ,00000167-9abd-dc16-afe7-9fbd7e390001
10,10,https://www.lionsgate.com/videos/a-simple-favor-2018-movie-official-trailer-anna-kendrick-blake-lively-henry-golding,,,2018-09-16 14:37:00,A Simple Favor,00000165-e3a8-dedd-aff7-f3f829e90001
11,11,https://www.lionsgate.com/videos/uncle-drew-2018-movie-official-trailer-kyrie-irving-shaq-lil-rel-tiffany-haddish,,,2018-10-05 14:18:00,Uncle Drew,00000166-4573-d654-a97e-577350590001
12,12,https://www.lionsgate.com/videos/kin-2018-movie-official-trailer-dennis-quaid-zoe-kravitz,,,2018-10-02 19:26:00,Kin,00000166-371a-d55b-a7fe-bf9aa6540001
13,13,https://www.lionsgate.com/movies/hunter-killer,Movies,https://www.lionsgate.com/movies,2018-08-16 02:04:00,Hunter Killer,00000165-4155-d038-abed-e9d5f1390000
14,14,https://www.lionsgate.com/movies/kin,Movies,https://www.lionsgate.com/movies,2018-08-16 02:06:00,Kin,00000165-4157-d038-abed-e9d79fb10000
15,15,https://www.lionsgate.com/movies/the-honor-list,Movies,https://www.lionsgate.com/movies,2018-08-16 02:18:00,The Honor List,00000165-4162-d038-abed-e9f3ad510000
16,16,https://www.lionsgate.com/franchises/john-wick,,,2018-10-29 17:39:00,John Wick Franchise,00000166-c1c3-da17-a5f6-d9ffd3f80001
