,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
0,False,/lNHAx3Tv3Wzx1kxhdJbpa6Q20aT.jpg,,0,[],,539136,tt6256546,it,Ricordi?,"A long love story, seen through the memories of one young couple: recollections altered by moods, their different perspectives, and time itself. Their memories, as well, change over time.",6.268,/x9IjKOnKIf2zsxtMBUkWnwHPibi.jpg,"[{'id': 6275, 'logo_path': None, 'name': 'BiBi Film', 'origin_country': ''}, {'id': 76921, 'logo_path': None, 'name': 'Les Films d’Ici', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'IT', 'name': 'Italy'}]",2019-03-21,0,106.0,"[{'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,Ricordi?,False,9.4,9
1,False,/ihZtk1FxpfqkdMoxYYjLVj2FXtV.jpg,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",,517093,tt5951188,ru,Балканский рубеж,"1999, Serbia is bombed and Kosovo region is left for plunder by bandits under command of Albanian warlord, Smuk. The removal of the human organs take place within the territories bandits have taken, the robberies, mass assassinations and genocide. Russian intelligence officer Bek Ethoev and former paratrooper turned mercenary Andrey Shatalov head a small detachment tasked with the dangerous mission to stop the terrorism, recapture the airfield used by the bandits and rescue Shatalov's love interest Yasna, who was captured to be harvested for organs, like the rest of the Serbian prisoners.",20.436,/ldQAxQaHCqkztaok4M4HLmAYKmv.jpg,"[{'id': 109270, 'logo_path': None, 'name': 'Archangel Studios', 'origin_country': ''}, {'id': 113710, 'logo_path': None, 'name': 'Upgrade Vision', 'origin_country': ''}, {'id': 113711, 'logo_path': None, 'name': 'Bless Film', 'origin_country': ''}]","[{'iso_3166_1': 'RU', 'name': 'Russia'}, {'iso_3166_1': 'RS', 'name': 'Serbia'}]",2019-03-21,0,130.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,No choice,Balkan Line,False,8.6,4
2,False,/notcxmT6RN93g43BnRI8GvRktZ.jpg,,16998000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",,498448,tt6264938,hi,केसरी,"The story of Havildar Ishar Singh who participates in the Battle of Saragarhi (in which an army of 21 Sikhs fought against 10,000 Afghans in 1897) while yearning for the respect of his estranged daughter.",7.601,/5s9Juk85HuHhTe232kUG5pkzgqA.jpg,"[{'id': 19146, 'logo_path': '/5Ff25ornzVNhm5skuAvMAR556NB.png', 'name': 'Dharma Productions', 'origin_country': 'IN'}, {'id': 71969, 'logo_path': '/v2UW0b2odtD5VT8d1IG3D2saLD7.png', 'name': 'Azure Entertainment', 'origin_country': 'IN'}, {'id': 86347, 'logo_path': '/ir79iQBhrXk9PJ5Pr9vlLjM4viO.png', 'name': 'Zee Studio', 'origin_country': 'IN'}, {'id': 35063, 'logo_path': None, 'name': 'Cape Of Good Films', 'origin_country': ''}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2019-03-21,0,151.0,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,The bravest battle ever fought.,Kesari,False,8.2,10
3,False,/907nmxtN2yWVrA3CryY6gdpe2Pq.jpg,,0,[],,581936,tt8708030,it,L'eroe,,5.179,/fvedonmmc8vPyMZc7wDHVgThdRu.jpg,[],[],2019-03-21,0,,[],Released,,L'eroe,False,8.0,1
4,False,,,0,"[{'id': 10751, 'name': 'Family'}, {'id': 10751, 'name': 'Family'}]",,577122,tt8773020,de,Rocca verändert die Welt,"11-year-old Rocca, a clever, creative and brave girl who lives all by herself in defiance of her teachers and the authorities has to fight to keep her independence and prove to everyone that a child also has the power to change the world.",3.938,/pA69UoeN5brDcRH3TeiqJLCwUko.jpg,"[{'id': 174, 'logo_path': '/ky0xOc5OrhzkZ1N6KyUxacfQsCk.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 94721, 'logo_path': None, 'name': 'Beta Film GmbH', 'origin_country': ''}, {'id': 42670, 'logo_path': None, 'name': 'Relevant Film', 'origin_country': ''}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2019-03-21,0,97.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Rocca verändert die Welt,False,8.0,1
5,False,/1vn16QxJTLjRWZqVOn8dQu0MfMa.jpg,,0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",,541495,tt8055888,hi,मर्द को दर्द नहीं होता,"A young man, quite literally born with the ability to feel no pain, sets off on a quest to vanquish 100 foes.",6.091,/cAcmh6AFrZsusWk2P6LUgVEZsRR.jpg,"[{'id': 100972, 'logo_path': '/ni6szJ3gzDOAmZwlHXKaFyvsxEQ.png', 'name': 'RSVP Movies', 'origin_country': 'IN'}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2019-03-21,0,131.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'hi', 'name': 'हिन्दी'}, {'iso_639_1': 'ml', 'name': ''}, {'iso_639_1': 'mr', 'name': ''}]",Released,The Man Who Feels No Pain,Mard Ko Dard Nahi Hota,False,8.0,2
6,False,/jWaBxVNWYqec9Ye8MOZYTUPRke5.jpg,,0,"[{'id': 99, 'name': 'Documentary'}]",,589116,tt9817308,en,Antoine Griezmann : The Making of a Legend,"With heart and determination, Antoine Griezmann overcame his small stature to become one of the world's top soccer players and a World Cup champion.",10.037,/mSqJzD857y3MSxHgW6ItZMoSUfa.jpg,[],"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2019-03-21,0,60.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Antoine Griezmann : The Making of a Legend,False,7.8,26
7,False,,,0,"[{'id': 35, 'name': 'Comedy'}]",,580075,,pt,Chorar de Rir,"Nilo Perequê is a successful comedian who stars in a TV show. When he wins the award for best comedian of the year, the comedian decides to radically change his career and devote himself totally to drama, leaving his family and businessman desperate.",4.202,/jjQ3Hg44zXCMONVd2AyMeBI0AtN.jpg,"[{'id': 8580, 'logo_path': None, 'name': 'Coração da Selva', 'origin_country': 'BR'}, {'id': 31898, 'logo_path': None, 'name': 'Warner Bros. Pictures International', 'origin_country': ''}]","[{'iso_3166_1': 'BR', 'name': 'Brazil'}]",2019-03-21,0,,"[{'iso_639_1': 'pt', 'name': 'Português'}]",Released,,Chorar de Rir,False,7.8,2
8,False,,,0,"[{'id': 35, 'name': 'Comedy'}]",,555793,tt7247512,pt,Cine Holliúdy 2 – A Chibata Sideral,,6.077,/ia199NVKYXOrIr681uX4ju5nHst.jpg,"[{'id': 80325, 'logo_path': None, 'name': 'Glaz Entretenimento', 'origin_country': 'BR'}, {'id': 82270, 'logo_path': None, 'name': 'ATC Entretenimento', 'origin_country': 'BR'}]","[{'iso_3166_1': 'BR', 'name': 'Brazil'}]",2019-03-21,0,,"[{'iso_639_1': 'pt', 'name': 'Português'}]",Released,,Cine Holliúdy 2 – A Chibata Sideral,False,7.8,2
9,False,/bsYrhvaE2Nr2OqBGXk2lf3exCG1.jpg,,0,"[{'id': 18, 'name': 'Drama'}]",,570733,tt8452422,it,Dafne,"Dafne is a self-aware and bright young woman with Down syndrome. When her mother dies, she has to attend to her father too, on top of attempting to process her own grief.",3.575,/kCkHowntOYLdP7d1UGOXqkN2kO9.jpg,"[{'id': 7144, 'logo_path': '/wqc8HTYdCCFnguN2Ma55lr2HIyC.png', 'name': 'Vivo Film', 'origin_country': 'IT'}, {'id': 2683, 'logo_path': '/mOL2WcHtox2urbUf1oJvjw7kz01.png', 'name': 'Rai Cinema', 'origin_country': 'IT'}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",2019-03-21,0,,"[{'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,Dafne,False,7.0,1
10,False,/mDJSser5Ks2V9TV9XW8YksNc8pB.jpg,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10402, 'name': 'Music'}]",http://daffodilsmovie.com,567044,tt8069578,en,Daffodils,Daffodils is a bittersweet love story told with beautiful re-imaginings of the most iconic New Zealand pop songs from artists like Crowded House and Bic Runga.,5.293,/3AYlZoiJ4VLjJxers7PjTxeYGSn.jpg,"[{'id': 294, 'logo_path': '/3XuHM8TXG0gDdPM3xJI14gkZbQy.png', 'name': 'New Zealand Film Commission', 'origin_country': 'NZ'}]","[{'iso_3166_1': 'NZ', 'name': 'New Zealand'}]",2019-03-21,0,93.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Daffodils,False,7.0,2
11,False,/iSK99Ylb0OwIA2D2xF3U9FzqHFa.jpg,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",,498062,tt7858616,de,Luz,"A rainy night. Dazed and numb, Luz, a young cabdriver, drags herself into the brightly lit entrance of a run-down police station. In a nightspot, Nora seductively engages police psychiatrist Dr. Rossini in a conversation. Nora tells the Doctor about her old schoolmate Luz’ rebellious past at a Chilean school for girls. Nora is possessed by a demonic entity, longing for the woman it loves - Luz.",5.775,/14XhPx337J2qoJ7UiiDXVX4Lgph.jpg,"[{'id': 117, 'logo_path': '/twj6GjwWKt23x21fkxItt7v7lEQ.png', 'name': 'Kunsthochschule für Medien Köln', 'origin_country': 'DE'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2019-03-21,0,70.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,,Luz,False,7.0,4
12,False,,,0,[],,581927,tt8757766,it,La mia seconda volta,,5.303,/hTdgr17bpNpewxhSiFeT9TnD2nM.jpg,[],[],2019-03-21,0,,[],Released,,La mia seconda volta,False,6.8,4
13,False,/hDksOg14y7UdPiR8tMTRfQbl8Fg.jpg,,0,[],,583248,tt8769828,it,Scappo a casa,,10.578,/5B2odWWsql3SO9Hq3ELTnD5AHE5.jpg,[],[],2019-03-21,0,,[],Released,,Scappo a casa,False,5.4,15
14,False,/sJspZTaLdaoiQcy5S5ZWcQkLLGM.jpg,,0,"[{'id': 35, 'name': 'Comedy'}]",,441384,tt6511932,en,The Beach Bum,"An irreverent comedy about the misadventures of Moondog, a rebellious stoner and lovable rogue who lives large.",14.819,/iXMxdC7T0t3dxislnUNybcvJmAH.jpg,"[{'id': 10039, 'logo_path': '/b8w4LldQolMKiLZw4FQJBcXSDGI.png', 'name': 'Anonymous Content', 'origin_country': 'US'}, {'id': 78780, 'logo_path': '/53Dcwrv1Pd296sN2yLZsgAdrIrX.png', 'name': 'Iconoclast', 'origin_country': 'FR'}, {'id': 76314, 'logo_path': '/oFiHo3350Nj7bi6oxYMq3Kp6VGC.png', 'name': 'Riverstone Pictures', 'origin_country': ''}, {'id': 47169, 'logo_path': None, 'name': 'Le Grisbi Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2019-03-21,0,95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,You gotta go low to get high.,The Beach Bum,False,4.5,8
15,False,/6SQxy9vmDNwf4H4HovNxbgSZe8K.jpg,,0,[],,591564,,es,Sapos,"A stripper, a young trans man, the son of a drug dealer and the survivor of an accident reconstruct their memories as patients of Fernando Ventura, a scientist obsessed with genetic manipulation, in this documentary that plays with the boundaries of the genre in order to tell an amazing story.",1.4,/2p141hlzWXdesHOZeq44YFud4vP.jpg,"[{'id': 116463, 'logo_path': None, 'name': 'Palermo Films', 'origin_country': ''}, {'id': 116464, 'logo_path': None, 'name': 'La Masa', 'origin_country': ''}, {'id': 116465, 'logo_path': None, 'name': 'UNTREF', 'origin_country': ''}]","[{'iso_3166_1': 'AR', 'name': 'Argentina'}]",2019-03-21,0,86.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,,Toads,False,0.0,0
16,False,,,0,[],,590992,,ar,Dimashq – Halab,"Syria, spring of 2018. Issa Abdallah, a famous radio broadcaster in the past, lives in loneliness after losing most of his beloved ones. With the liberation of Aleppo, Issa decides to visit his daughter Dina, who lives there with her two kids. The road from Damascus to Aleppo is a journey into the depth of life and people whom Issa meets, mirroring the Syrian reality with all its tragic and sarcastic contradictions. A journey that shows best values of love, compassion and the ability of confrontation that people have.",2.744,/6K7J59xmHjPjO0xvNv1gNzd7ftb.jpg,[],"[{'iso_3166_1': 'SY', 'name': 'Syrian Arab Republic'}]",2019-03-21,0,120.0,"[{'iso_639_1': 'ar', 'name': 'العربية'}]",Released,,Damascus - Aleppo,False,0.0,0
17,False,,,0,[],,590910,,es,Un lugar en el tiempo,,1.96,,[],[],2019-03-21,0,,[],Released,,Un lugar en el tiempo,False,0.0,0
18,False,,,0,"[{'id': 16, 'name': 'Animation'}]",,590406,,en,مسامير: تحريات كلب,A short movie from the popular series,2.899,,"[{'id': 116281, 'logo_path': None, 'name': 'Myrkott', 'origin_country': ''}]","[{'iso_3166_1': 'SA', 'name': 'Saudi Arabia'}]",2019-03-21,0,42.0,"[{'iso_639_1': 'ar', 'name': 'العربية'}]",Released,,Masameer: Taharyat Kalb,False,0.0,0
19,False,,,0,[],,590218,tt7033498,en,Twelve,"A young boy, with help from his father, lets nothing stand between him and his dream to play in the little league world series.",4.394,/hSt5bcJx6EqSvAB4TiDILDTj31c.jpg,[],[],2019-03-21,0,92.0,[],Released,,Twelve,False,0.0,0
20,False,,,0,"[{'id': 99, 'name': 'Documentary'}]",,590174,,en,A Word for Human,"The library is a stronghold of humanism, but today libraries are more than places for borrowing books. At the Royal Library in the heart of Copenhagen, researchers and intermediaries work side by side with the library's visitors who come to read and study, but also to participate in talks, concerts, lectures and exhibitions that fill the halls all year round. This documentary looks behind the scenes in a year where Marina Abramovic and Olafur Eliasson contribute to the program, and where colonial history and climate change take center stage.",3.24,,"[{'id': 102829, 'logo_path': None, 'name': 'Final Cut for Real ApS', 'origin_country': ''}]","[{'iso_3166_1': 'DK', 'name': 'Denmark'}]",2019-03-21,0,59.0,"[{'iso_639_1': 'da', 'name': 'Dansk'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,,A Word for Human,False,0.0,0
21,False,,,0,"[{'id': 99, 'name': 'Documentary'}]",,590169,tt9914254,da,Kirsebæreventyret,Three Danish entrepreneurs embark on making cherry wine on the island of Lolland.,3.277,,[],[],2019-03-21,0,85.0,"[{'iso_639_1': 'zh', 'name': '普通话'}, {'iso_639_1': 'da', 'name': 'Dansk'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,,A Cherry Tale,False,0.0,0
