,Unnamed: 0,id,imdb_id,title,original_title,release_date,revenue,budget,runtime,tagline,overview,production_countries,vote_average,vote_count,all_production_cos,list_genres,release_year,multiple,Lionsgate,Warner,fox,marvel,paramount,disney,production_companies,revenue_m,budget_m,is_us
0,0,19995.0,tt0499549,Avatar,Avatar,2009-12-10,2787965087.0,237000000.0,162.0,Enter the World of Pandora.,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}', '{iso_3166_1:GB', 'name:UnitedKingdom}']",7.4,18058.0,"['IngeniousFilmPartners', 'DuneEntertainment', 'LightstormEntertainment', '20thCenturyFox']","['Action', 'Adventure', 'Fantasy', 'ScienceFiction']",2009,11.763565767932489,False,False,True,False,False,False,"['IngeniousFilmPartners', 'DuneEntertainment', 'LightstormEntertainment', '20thCenturyFox']",2787.965087,237.0,True
1,1,140607.0,tt2488496,Star Wars: The Force Awakens,Star Wars: The Force Awakens,2015-12-15,2068223624.0,245000000.0,136.0,Every generation has a story.,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",7.4,12278.0,"['TruenorthProductions', 'Lucasfilm', 'BadRobot']","['Action', 'Adventure', 'ScienceFiction', 'Fantasy']",2015,8.44172907755102,False,False,False,False,False,False,"['TruenorthProductions', 'Lucasfilm', 'BadRobot']",2068.223624,245.0,True
2,2,299536.0,tt4154756,Avengers: Infinity War,Avengers: Infinity War,2018-04-25,2046239637.0,300000000.0,149.0,An entire universe. Once and for all.,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",8.3,12288.0,['MarvelStudios'],"['Adventure', 'Action', 'Fantasy']",2018,6.82079879,False,False,False,True,False,False,['MarvelStudios'],2046.239637,300.0,True
3,3,597.0,tt0120338,Titanic,Titanic,1997-11-18,1845034188.0,200000000.0,194.0,Nothing on Earth could come between them.,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. On April 10, 1912, a young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-classic tickets. Rose tells the whole story from departure through the death of Titanic on its first and last voyage, on April 15, 1912.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",7.8,13630.0,"['Paramount', 'LightstormEntertainment', '20thCenturyFox']","['Drama', 'Romance', 'Thriller']",1997,9.22517094,False,False,True,False,True,False,"['Paramount', 'LightstormEntertainment', '20thCenturyFox']",1845.034188,200.0,True
5,5,135397.0,tt0369610,Jurassic World,Jurassic World,2015-06-06,1671713208.0,150000000.0,124.0,The park is open.,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",6.6,13638.0,"['FujiTelevisionNetwork', 'AmblinEntertainment', 'LegendaryEntertainment', 'UniversalPictures', 'Dentsu', 'TheKennedy/MarshallCompany']","['Action', 'Adventure', 'ScienceFiction', 'Thriller']",2015,11.14475472,False,False,False,False,False,False,"['FujiTelevisionNetwork', 'AmblinEntertainment', 'LegendaryEntertainment', 'UniversalPictures', 'Dentsu', 'TheKennedy/MarshallCompany']",1671.713208,150.0,True
6,6,24428.0,tt0848228,The Avengers,The Avengers,2012-04-25,1519557910.0,220000000.0,143.0,Some assembly required.,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",7.6,18555.0,['MarvelStudios'],"['ScienceFiction', 'Action', 'Adventure']",2012,6.907081409090909,False,False,False,True,False,False,['MarvelStudios'],1519.55791,220.0,True
7,7,168259.0,tt2820852,Furious 7,Furious 7,2015-04-01,1506249360.0,190000000.0,137.0,Vengeance Hits Home,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,"['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",7.3,6314.0,"['AbuDhabiFilmCommission', 'UniversalPictures', 'ChinaFilmCo.', 'OriginalFilm', 'FujiTelevisionNetwork', 'QuébecProductionServicesTaxCredit', 'ColoradoOfficeofFilm', 'Television&Media', 'Dentsu', 'MediaRightsCapital', 'OneRace']","['Action', 'Crime', 'Thriller', 'Drama']",2015,7.927628210526316,False,False,False,False,False,False,"['AbuDhabiFilmCommission', 'UniversalPictures', 'ChinaFilmCo.', 'OriginalFilm', 'FujiTelevisionNetwork', 'QuébecProductionServicesTaxCredit', 'ColoradoOfficeofFilm', 'Television&Media', 'Dentsu', 'MediaRightsCapital', 'OneRace']",1506.24936,190.0,True
8,8,99861.0,tt2395427,Avengers: Age of Ultron,Avengers: Age of Ultron,2015-04-22,1405403694.0,280000000.0,141.0,A New Age Has Come.,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",7.3,12517.0,['MarvelStudios'],"['Action', 'Adventure', 'ScienceFiction']",2015,5.019298907142857,False,False,False,True,False,False,['MarvelStudios'],1405.403694,280.0,True
9,9,284054.0,tt1825683,Black Panther,Black Panther,2018-02-13,1346739107.0,200000000.0,134.0,Long live the king.,"King T'Challa returns home from America to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantel to join with girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.","['{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",7.4,11320.0,"['MarvelStudios', 'WaltDisneyPictures']","['Action', 'Adventure', 'Fantasy', 'ScienceFiction']",2018,6.733695535,False,False,False,True,False,True,"['MarvelStudios', 'WaltDisneyPictures']",1346.739107,200.0,True
10,10,12445.0,tt1201607,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2,2011-07-07,1342000000.0,125000000.0,130.0,It all ends here.,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.","['{iso_3166_1:GB', 'name:UnitedKingdom}', '{iso_3166_1:US', 'name:UnitedStatesofAmerica}']",8.1,11046.0,"['WarnerBros.Pictures', 'HeydayFilms']","['Family', 'Fantasy', 'Adventure']",2011,10.736,False,True,False,False,False,False,"['WarnerBros.Pictures', 'HeydayFilms']",1342.0,125.0,True
